日期,人次
2020-01-06,2271258
2020-01-07,2315724
2020-01-08,2363394
2020-01-09,2587789
2020-01-10,2676844
2020-01-11,1832582
2020-01-12,1748344
2020-01-13,2316428
2020-01-14,2341545
2020-01-15,2368797
2020-01-16,2482073
2020-01-17,2525762
2020-01-18,2144800
2020-01-19,1891267
2020-01-20,2409736
2020-01-21,2412886
2020-01-22,2306021
2020-01-23,1367770
2020-01-24,823042
2020-01-25,1317163
2020-01-26,1102658
2020-01-27,1342361
2020-01-28,1402794
2020-01-29,1313420
2020-01-30,1931841
2020-01-31,2086852
2020-02-01,1691268
2020-02-02,1484920
2020-02-03,2020831
2020-02-04,2014519
2020-02-05,2026231
2020-02-06,2051313
2020-02-07,2117014
2020-02-08,1491095
2020-02-09,1302791
2020-02-10,1931425
2020-02-11,1958035
2020-02-12,2017102
2020-02-13,2002347
2020-02-14,2145837
2020-02-15,1931424
2020-02-16,1314791
2020-02-17,1906401
2020-02-18,1959764
2020-02-19,1993584
2020-02-20,1986545
2020-02-21,2083012
2020-02-22,1566491
2020-02-23,1323670
2020-02-24,1908693
2020-02-25,2012908
2020-02-26,2023965
2020-02-27,2115355
2020-02-28,1361574
2020-02-29,1347324
2020-03-01,1149198
2020-03-02,1920433
2020-03-03,1946557
2020-03-04,1967579
2020-03-05,1991148
2020-03-06,2121249
2020-03-07,1490227
2020-03-08,1240403
2020-03-09,1926610
2020-03-10,1976406
2020-03-11,2005342
2020-03-12,1999505
2020-03-13,2143480
2020-03-14,1455450
2020-03-15,1301144
2020-03-16,1914348
2020-03-17,1931765
2020-03-18,1918564
2020-03-19,1879437
2020-03-20,1978607
2020-03-21,1268369
2020-03-22,1043664
2020-03-23,1756637
2020-03-24,1791363
2020-03-25,1798499
2020-03-26,1797541
2020-03-27,1898297
2020-03-28,1133521
2020-03-29,1014465
2020-03-30,1744636
2020-03-31,1799420
2020-04-01,1845643
2020-04-02,962873
2020-04-03,905704
2020-04-04,808192
2020-04-05,847314
2020-04-06,1686674
2020-04-07,1688570
2020-04-08,1695581
2020-04-09,1696547
2020-04-10,1835070
2020-04-11,1131027
2020-04-12,902668
2020-04-13,1683779
2020-04-14,1714591
2020-04-15,1747096
2020-04-16,1753337
2020-04-17,1876447
2020-04-18,1256336
2020-04-19,1012014
2020-04-20,1715455
2020-04-21,1725346
2020-04-22,1752413
2020-04-23,1788710
2020-04-24,1890535
2020-04-25,1196667
2020-04-26,955539
2020-04-27,1735076
2020-04-28,1797024
2020-04-29,1830615
2020-04-30,1901438
2020-05-01,1451720
2020-05-02,1239767
2020-05-03,1077659
2020-05-04,1787048
2020-05-05,1838018
2020-05-06,1865162
2020-05-07,1876475
2020-05-08,2042407
2020-05-09,1366497
2020-05-10,1085709
2020-05-11,1829944
2020-05-12,1859195
2020-05-13,1916673
2020-05-14,1908468
2020-05-15,2099428
2020-05-16,1421009
2020-05-17,1206519
2020-05-18,1838947
2020-05-19,1889817
2020-05-20,1957441
2020-05-21,1945501
2020-05-22,2061473
2020-05-23,1419080
2020-05-24,1315668
2020-05-25,1899565
2020-05-26,1925389
2020-05-27,1980776
2020-05-28,1960208
2020-05-29,2138344
2020-05-30,1609461
2020-05-31,1344631
2020-06-01,1899219
2020-06-02,1945257
2020-06-03,1994375
2020-06-04,1997320
2020-06-05,2153527
