時段,進站,人次
9,民權西路,2192342
9,永安市場,6140824
9,永寧,2838475
9,永春,2849922
9,江子翠,5451563
9,海山,4944085
9,淡水,5902941
9,港墘,1364386
9,石牌,4119796
9,秀朗橋,254165
9,科技大樓,1946093
9,竹圍,1722481
9,紅樹林,1947022
9,芝山,3485208
9,菜寮,2096106
9,萬芳社區,659921
9,萬芳醫院,2455184
9,萬隆,2115781
9,葫洲,1638386
9,蘆洲,3578174
9,行天宮,2257465
9,西湖,947726
9,西門,6046087
9,象山,1466596
9,輔大,1361849
9,辛亥,860585
9,迴龍,2331410
9,關渡,1449405
9,雙連,1881066
9,頂埔,1708763
9,頂溪,8195356
9,頭前庄,927281
9,麟光,988613
9,龍山寺,4526742
10,BL板橋,4355755
10,Y板橋,273770
10,七張,2121896
10,三和國中,1789747
10,三民高中,1762453
10,三重,717624
10,三重國小,1724407
10,中原,75985
10,中和,244224
10,中山,1939778
10,中山國中,1201756
10,中山國小,1510337
10,中正紀念堂,1982011
10,丹鳳,1432609
10,亞東醫院,3324687
10,信義安和,1235627
10,先嗇宮,308208
10,內湖,1119944
10,公館,1951636
10,六張犁,1153811
10,劍南路,617020
10,劍潭,2738032
10,動物園,388000
10,北投,2282158
10,北門,909203
10,十四張,73921
10,南京三民,1655419
10,南京復興,1947743
10,南勢角,3081065
10,南港,1873689
10,南港展覽館,3031493
10,南港軟體園區,207998
10,古亭,2728627
10,台北101/世貿,1137378
10,台北小巨蛋,1119801
10,台北橋,1250554
10,台北車站,14827445
10,台大醫院,2269688
10,台電大樓,1471889
10,唭哩岸,1009089
10,善導寺,1415106
10,國父紀念館,1095028
10,圓山,3069577
10,土城,1186172
10,士林,2478693
10,大坪林,2270654
10,大安,1535096
10,大安森林公園,810788
10,大橋頭站,1451054
10,大湖公園,431890
10,大直,757393
10,奇岩,1046166
10,小南門,737756
10,小碧潭,299534
10,市政府,2936687
10,幸福,179152
10,府中,4178486
10,後山埤,2000095
10,徐匯中學,1722231
10,復興崗,485035
10,忠孝復興,1995726
10,忠孝敦化,1428458
10,忠孝新生,1792967
10,忠義,307199
10,文德,556599
10,新北投,528122
10,新北產業園區,130891
10,新埔,5382528
10,新埔民生,93823
10,新店,1672709
10,新店區公所,1629093
10,新莊,1218481
10,昆陽,1345424
10,明德,1679657
10,景安,3717621
10,景平,199659
10,景美,2013373
10,木柵,523739
10,東湖,1010608
10,東門,1857098
10,松山,1836030
10,松山機場,532379
10,松江南京,1747554
10,板新,129557
10,橋和,44163
10,民權西路,1902643
10,永安市場,3592604
10,永寧,1886814
10,永春,2010682
10,江子翠,3420427
10,海山,3142539
10,淡水,4165269
10,港墘,915164
10,石牌,3404379
10,秀朗橋,156933
10,科技大樓,1155033
10,竹圍,1277869
10,紅樹林,1301898
10,芝山,2198847
10,菜寮,1281952
10,萬芳社區,351207
10,萬芳醫院,1554340
10,萬隆,1334690
10,葫洲,948323
10,蘆洲,2136572
10,行天宮,1931789
10,西湖,653912
10,西門,5571380
10,象山,991056
10,輔大,983888
10,辛亥,453273
10,迴龍,1358938
10,關渡,1236878
10,雙連,2146743
10,頂埔,1088668
10,頂溪,5019922
10,頭前庄,560904
10,麟光,618811
10,龍山寺,3737488
11,BL板橋,4220733
11,Y板橋,271475
11,七張,2057650
11,三和國中,1497789
11,三民高中,1479855
11,三重,698910
11,三重國小,1401381
11,中原,83031
11,中和,247443
11,中山,2398141
11,中山國中,1238328
11,中山國小,1478056
11,中正紀念堂,2558924
11,丹鳳,1181631
11,亞東醫院,2983366
11,信義安和,1337190
11,先嗇宮,313150
11,內湖,1126836
11,公館,2158531
11,六張犁,1084495
11,劍南路,676576
11,劍潭,2806843
11,動物園,472210
11,北投,2274956
11,北門,1054109
11,十四張,83184
11,南京三民,1768545
11,南京復興,2254890
11,南勢角,2631992
11,南港,1741425
11,南港展覽館,2832622
11,南港軟體園區,254548
11,古亭,2874609
11,台北101/世貿,1523890
11,台北小巨蛋,1371364
11,台北橋,1111487
11,台北車站,15690168
11,台大醫院,2751801
11,台電大樓,1557782
11,唭哩岸,943016
11,善導寺,1858890
11,國父紀念館,1380368
11,圓山,3127915
11,土城,1033105
11,士林,2722871
11,大坪林,2291470
11,大安,1769184
11,大安森林公園,997870
11,大橋頭站,1422410
11,大湖公園,459861
11,大直,835549
11,奇岩,980447
11,小南門,891822
11,小碧潭,334268
11,市政府,3466271
11,幸福,173690
11,府中,3643113
11,後山埤,1997713
11,徐匯中學,1456312
11,復興崗,456560
11,忠孝復興,2620693
11,忠孝敦化,1818279
11,忠孝新生,2230705
11,忠義,344925
11,文德,579138
11,新北投,638443
11,新北產業園區,134075
11,新埔,4599771
11,新埔民生,91074
11,新店,1614140
11,新店區公所,1535239
11,新莊,1099323
11,昆陽,1382602
11,明德,1666250
11,景安,3233712
11,景平,192807
11,景美,2001442
11,木柵,469704
11,東湖,928428
11,東門,2289574
11,松山,1872590
11,松山機場,577891
11,松江南京,2162343
11,板新,118748
11,橋和,61637
11,民權西路,2024004
11,永安市場,3140978
11,永寧,1680188
11,永春,2036869
11,江子翠,2949451
11,海山,2685386
11,淡水,3774377
11,港墘,1017106
11,石牌,3628093
11,秀朗橋,150703
11,科技大樓,1196803
11,竹圍,1223830
11,紅樹林,1277405
